"condition_name","omop_cui","vocabulary_cui","vocabulary_name"
Primary malignant neoplasm of male breast,135489,"93884005",SNOMED
Primary malignant neoplasm of spinal cord,135491,"94068003",SNOMED
Acute leukemia in remission,135496,"91854005",SNOMED
Subacute myeloid leukemia,135499,"188736006",SNOMED
Primary malignant neoplasm of floor of mouth,135750,"93802007",SNOMED
Sézary's disease of extranodal AND/OR solid organ site,135759,"95264000",SNOMED
Acute myeloid leukemia in remission,135762,"91860005",SNOMED
Mycosis fungoides of lymph nodes of multiple sites,135764,"188627002",SNOMED
"Sézary's disease of lymph nodes of head, face AND/OR neck",135765,"95260009",SNOMED
Leukemia in remission,135766,"93142004",SNOMED
Benign neoplasm of spinal meninges,135767,"92406008",SNOMED
Acute monocytic leukemia,135768,"413441006",SNOMED
Neoplasm of uncertain behavior of skin,135777,"95087004",SNOMED
Chronic monocytic leukemia,136056,"188745007",SNOMED
Benign neoplasm of skin of trunk,136057,"92380000",SNOMED
Secondary malignant neoplasm of skin,136354,"94579000",SNOMED
Primary malignant neoplasm of sphenoidal sinus,136639,"94067008",SNOMED
"Hodgkin's disease, mixed cellularity of intrathoracic lymph nodes",136655,"188576003",SNOMED
Subacute lymphoid leukemia,136656,"188726003",SNOMED
Primary malignant neoplasm of skin of lip,136915,"94032008",SNOMED
Primary malignant neoplasm of skin of face,136917,"94022001",SNOMED
"Hodgkin's disease, nodular sclerosis of intrathoracic lymph nodes",136928,"188566001",SNOMED
Megakaryocytic leukemia in remission,136930,"94148006",SNOMED
Benign neoplasm of endocrine gland,136937,"92085000",SNOMED
Refractory anemia with excess blasts,136949,"398623004",SNOMED
Myelodysplastic syndrome with isolated del(5q),136950,"277597005",SNOMED
Primary malignant neoplasm of inner aspect of lower lip,137219,"93836001",SNOMED
Malignant mast cell tumor of lymph nodes of multiple sites,137512,"93206004",SNOMED
Primary malignant neoplasm of maxillary sinus,137800,"93889000",SNOMED
Primary malignant neoplasm of female breast,137809,"93796005",SNOMED
Benign neoplasm of mouth region,137813,"419958000",SNOMED
Primary malignant neoplasm of vermilion border of upper lip,138074,"372027002",SNOMED
"Erythroleukemia, FAB M6",138099,"93451002",SNOMED
Benign neoplasm of skin,138102,"92384009",SNOMED
Benign neoplasm of spinal cord,138117,"92405007",SNOMED
Primary malignant neoplasm of inner aspect of upper lip,138351,"93837005",SNOMED
"Mycosis fungoides of lymph nodes of head, face AND/OR neck",138377,"94711005",SNOMED
Sézary's disease of lymph nodes of axilla AND/OR upper limb,138378,"188633006",SNOMED
"Chronic lymphoid leukemia, disease",138379,"92814006",SNOMED
Acute leukemia,138708,"91855006",SNOMED
Myelodysplastic syndrome,138994,"109995007",SNOMED
Carcinoma in situ of skin,138996,"92749008",SNOMED
Primary malignant neoplasm of skin,139750,"94047004",SNOMED
Primary malignant neoplasm of parathyroid gland,139753,"93943008",SNOMED
Malignant melanoma of skin of lower limb,139757,"93641007",SNOMED
Reticulosarcoma of lymph nodes of multiple sites,139759,"95230004",SNOMED
Carcinoma in situ of scalp and skin of neck,139766,"189291009",SNOMED
Primary malignant neoplasm of ethmoidal sinus,140046,"93787005",SNOMED
Malignant melanoma of skin of lip,140048,"93640008",SNOMED
Chronic leukemia,140057,"92812005",SNOMED
Myelosclerosis with myeloid metaplasia,140064,"307651005",SNOMED
"Acute myeloid leukemia, disease",140352,"91861009",SNOMED
Neoplasm of uncertain behavior of endocrine gland,140357,"94820008",SNOMED
Hodgkin's paragranuloma of lymph nodes of multiple sites,140663,"188531003",SNOMED
Sézary's disease of lymph nodes of multiple sites,140664,"188637007",SNOMED
Myeloid leukemia,140666,"188732008",SNOMED
Acute monocytic leukemia in remission,140672,"91858008",SNOMED
Primary malignant neoplasm of gum,140950,"371990006",SNOMED
Overlapping malignant neoplasm of floor of mouth,140955,"109830000",SNOMED
Kaposi's sarcoma of palate,140958,"109388009",SNOMED
Secondary malignant neoplasm of female breast,140960,"94297009",SNOMED
Benign neoplasm of skin of face,140966,"92359006",SNOMED
Myeloid sarcoma,140967,"94719007",SNOMED
Malignant melanoma of skin,141232,"93655004",SNOMED
"Hodgkin's disease, lymphocytic depletion of intrathoracic lymph nodes",141243,"188586002",SNOMED
Benign neoplasm of skin of lip,141248,"92369000",SNOMED
Benign neoplasm of thyroid gland,141249,"92439006",SNOMED
Mycosis fungoides of lymph nodes of axilla AND/OR upper limb,141524,"94710006",SNOMED
Letterer-Siwe disease of lymph nodes of multiple sites,141814,"93139005",SNOMED
Acute lymphoid leukemia in remission,141816,"91856007",SNOMED
Primary malignant neoplasm of pylorus,192255,"93977003",SNOMED
Overlapping malignant neoplasm of pancreas,192261,"109848009",SNOMED
Reticulosarcoma of intrapelvic lymph nodes,192265,"95225003",SNOMED
"Hodgkin's disease, mixed cellularity of intra-abdominal lymph nodes",192268,"188577007",SNOMED
Malignant histiocytosis of intrapelvic lymph nodes,192270,"93183001",SNOMED
Benign neoplasm of adrenal gland,192273,"91967007",SNOMED
Carcinoma in situ of intestinal tract,192291,"92617001",SNOMED
Carcinoma in situ of liver and/or biliary system,192292,"271525004",SNOMED
Malignant lymphoma of lymph nodes of inguinal region AND/OR lower limb,192560,"93196000",SNOMED
Secondary malignant neoplasm of intra-abdominal lymph nodes,192568,"94347008",SNOMED
Carcinoma in situ of female genital organ,192577,"92594000",SNOMED
Carcinoma in situ of uterus,192581,"92788005",SNOMED
Primary malignant neoplasm of small intestine,192836,"94048009",SNOMED
Primary malignant neoplasm of isthmus of uterus,192847,"93844001",SNOMED
Intramural leiomyoma of uterus,192854,"93616000",SNOMED
Cancer in situ of urinary bladder,192855,"92546004",SNOMED
Primary malignant neoplasm of lower third of esophagus,193138,"371998004",SNOMED
Secondary malignant neoplasm of adrenal gland,193144,"94161006",SNOMED
Carcinoid tumor of large intestine,193155,"276819005",SNOMED
"Hodgkin's disease, nodular sclerosis of spleen",193157,"93518009",SNOMED
Carcinoma in situ of penis,193162,"92679008",SNOMED
Primary malignant neoplasm of spleen,193418,"94071006",SNOMED
Primary malignant neoplasm of body of stomach,193422,"93717002",SNOMED
Hodgkin's paragranuloma of spleen,193427,"93545005",SNOMED
Burkitt's lymphoma of intrapelvic lymph nodes,193428,"188515006",SNOMED
Leukemic reticuloendotheliosis of intra-abdominal lymph nodes,193429,"93144003",SNOMED
Benign tumor of digestive organ,193431,"255167007",SNOMED
"Hodgkin's disease, nodular sclerosis of intra-abdominal lymph nodes",193434,"188567005",SNOMED
Neoplasm of uncertain behavior of female genital organ,193437,"94837001",SNOMED
Benign neoplasm of body of uterus,193439,"92021007",SNOMED
Primary malignant neoplasm of spermatic cord,193719,"372013007",SNOMED
Malignant histiocytosis of spleen,193721,"93189002",SNOMED
Benign tumor of endocrine pancreas,193722,"254614001",SNOMED
Neoplasm of uncertain behavior of retroperitoneum and peritoneum,193733,"189399009",SNOMED
Primary malignant neoplasm of abdominal esophagus,193971,"371962007",SNOMED
Neoplasm of uncertain behavior of digestive and respiratory systems,193998,"189361002",SNOMED
"Malignant neoplasm of corpus uteri, excluding isthmus",194286,"188189001",SNOMED
Primary malignant neoplasm of biliary tract,194589,"371970002",SNOMED
Mycosis fungoides of lymph nodes of inguinal region AND/OR lower limb,194593,"94712003",SNOMED
"Hodgkin's disease, mixed cellularity of intrapelvic lymph nodes",194594,"188580008",SNOMED
Neoplasm of uncertain behavior of placenta,194598,"95005005",SNOMED
Benign neoplasm of soft tissues of pelvis,194607,"92396002",SNOMED
Carcinoma in situ of uterine cervix,194611,"92564006",SNOMED
"Hodgkin's disease, lymphocytic-histiocytic predominance of intrapelvic lymph nodes",194876,"93494007",SNOMED
Nodular lymphoma of extranodal AND/OR solid organ site,194878,"95194004",SNOMED
Malignant lymphoma of intrapelvic lymph nodes,195195,"93192003",SNOMED
Hodgkin's sarcoma of intrapelvic lymph nodes,195196,"93548007",SNOMED
Primary malignant neoplasm of vulva,195197,"94143002",SNOMED
Lymphosarcoma of spleen,195201,"188506004",SNOMED
Benign neoplasm of liver and/or biliary ducts,195209,"271527007",SNOMED
Primary malignant neoplasm of renal pelvis,195480,"93985007",SNOMED
Primary malignant neoplasm of intestinal tract,195482,"371992003",SNOMED
Primary malignant neoplasm of penis,195483,"372005006",SNOMED
Benign neoplasm of kidney,195498,"92165001",SNOMED
Benign neoplasm of uterus,195500,"92470003",SNOMED
Carcinoma in situ of vagina,195513,"92791005",SNOMED
Sézary's disease of spleen,195760,"95263006",SNOMED
Hodgkin's disease of intrapelvic lymph nodes,195761,"93521006",SNOMED
Submucous leiomyoma of uterus,195769,"95279007",SNOMED
Subserous leiomyoma of uterus,195770,"95280005",SNOMED
Neoplasm of uncertain behavior of uterus,195793,"95167003",SNOMED
Primary malignant neoplasm of stomach,196044,"372014001",SNOMED
Primary malignant neoplasm of parametrium,196047,"93942003",SNOMED
Primary malignant neoplasm of vagina,196048,"372025005",SNOMED
Primary malignant neoplasm of urethra,196049,"94123008",SNOMED
Overlapping malignant neoplasm of female genital organs,196051,"109878000",SNOMED
Secondary malignant neoplasm of kidney,196053,"94360002",SNOMED
Burkitt's lymphoma of lymph nodes of inguinal region and lower limb,196055,"188514005",SNOMED
Benign neoplasm of stomach,196061,"92411005",SNOMED
Carcinoma in situ of digestive organ,196064,"109850001",SNOMED
Carcinoma in situ of male genital organ,196068,"92653004",SNOMED
Hodgkin's granuloma of spleen,196355,"93536009",SNOMED
Primary malignant neoplasm of uterine cervix,196359,"372024009",SNOMED
Primary malignant neoplasm of bladder,196360,"93689003",SNOMED
Letterer-Siwe disease of intrapelvic lymph nodes,196363,"93134000",SNOMED
Benign neoplasm of uterine cervix,196364,"92056006",SNOMED
Neoplasm of uncertain behavior of adrenal gland,196365,"94730005",SNOMED
Benign neoplasm of urethra,196377,"92466006",SNOMED
Overlapping malignant neoplasm of male genital organs,196645,"109874003",SNOMED
Leukemic reticuloendotheliosis of intrapelvic lymph nodes,196650,"93145002",SNOMED
Lipoma of intra-abdominal organs,196654,"93157006",SNOMED
Secondary malignant neoplasm of retroperitoneum and peritoneum,196925,"188445006",SNOMED
Neoplasm of digestive tract,196931,"128415001",SNOMED
Primary malignant neoplasm of clitoris,197225,"371980003",SNOMED
Lymphosarcoma of intra-abdominal lymph nodes,197228,"188502002",SNOMED
Malignant histiocytosis of lymph nodes of inguinal region AND/OR lower limb,197232,"93187000",SNOMED
Uterine leiomyoma,197236,"95315005",SNOMED
Benign neoplasm of prostate,197237,"92308005",SNOMED
Hemangioma of intra-abdominal structure,197239,"189197001",SNOMED
Primary malignant neoplasm of colon,197500,"93761005",SNOMED
Malignant neoplasm of abdomen,197506,"188366002",SNOMED
Primary malignant neoplasm of male genital organ,197507,"93885006",SNOMED
Malignant mast cell tumor of spleen,197511,"93207008",SNOMED
Neoplasm of uncertain behavior of male genital organ,197518,"94925002",SNOMED
Primary malignant neoplasm of the peritoneum,197799,"372016004",SNOMED
Overlapping malignant neoplasm of stomach,197803,"109836006",SNOMED
Primary malignant neoplasm of intra-abdominal organs,197804,"93839008",SNOMED
Primary malignant neoplasm of gallbladder,197806,"372139008",SNOMED
Primary malignant neoplasm of soft tissues of abdomen,197807,"94050001",SNOMED
Primary malignant neoplasm of soft tissues of trunk,197808,"94063007",SNOMED
Letterer-Siwe disease of spleen,197816,"93140007",SNOMED
Lipoma of spermatic cord,197823,"93162007",SNOMED
Overlapping malignant neoplasm of body of uterus,198082,"109879008",SNOMED
Kaposi's sarcoma of gastrointestinal tract,198085,"109389001",SNOMED
Nodular lymphoma of intrapelvic lymph nodes,198088,"95187002",SNOMED
Primary malignant neoplasm of retroperitoneum,198091,"94092006",SNOMED
Overlapping malignant neoplasm of retroperitoneum and peritoneum,198092,"109851002",SNOMED
Malignant histiocytosis of intra-abdominal lymph nodes,198098,"93182006",SNOMED
Carcinoid tumor of small intestine,198100,"276818002",SNOMED
Lipoma of skin and subcutaneous tissue,198101,"188990009",SNOMED
Benign neoplasm of ureter,198103,"92464009",SNOMED
Primary malignant neoplasm of adrenal gland,198104,"93665005",SNOMED
Benign neoplasm of fallopian tubes and uterine ligaments,198108,"189120005",SNOMED
Secondary malignant neoplasm of small intestine,198371,"94580002",SNOMED
Hodgkin's sarcoma of intra-abdominal lymph nodes,198372,"93547002",SNOMED
Nodular lymphoma of spleen,198374,"95193005",SNOMED
"Hodgkin's disease, lymphocytic-histiocytic predominance of spleen",198381,"93500006",SNOMED
Hemangioma of skin and subcutaneous tissue,198400,"271481007",SNOMED
Neoplasm of uncertain behavior of bladder,198401,"94754000",SNOMED
Overlapping malignant neoplasm of biliary tract,198695,"109847004",SNOMED
Secondary malignant neoplasm of liver,198700,"94381002",SNOMED
Lymphosarcoma of lymph nodes of inguinal region and lower limb,198702,"188504001",SNOMED
Hodgkin's disease of spleen,198704,"93527005",SNOMED
Malignant mast cell tumor of lymph nodes of inguinal region AND/OR lower limb,198705,"93205000",SNOMED
Nodular lymphoma of lymph nodes of inguinal region and lower limb,198707,"188613007",SNOMED
Hodgkin's sarcoma of spleen,198710,"93554008",SNOMED
Primary malignant neoplasm of kidney,198985,"93849006",SNOMED
Hodgkin's paragranuloma of intrapelvic lymph nodes,198986,"188529007",SNOMED
Primary malignant neoplasm of pelvis,198988,"93953009",SNOMED
Benign neoplasm of peritoneum and retroperitoneum,198991,"188857008",SNOMED
Overlapping malignant neoplasm of small intestine,199747,"109837002",SNOMED
Secondary malignant neoplasm of ovary,199752,"94455000",SNOMED
Primary malignant neoplasm of pancreas,199754,"372003004",SNOMED
"Hodgkin's disease, nodular sclerosis of intrapelvic lymph nodes",199760,"188570009",SNOMED
Sézary's disease of lymph nodes of inguinal region AND/OR lower limb,199762,"95261008",SNOMED
Benign neoplasm of ovary,199764,"92260003",SNOMED
Neoplasm of uncertain behavior of liver and/or biliary passages,199767,"271482000",SNOMED
Primary malignant neoplasm of ovary,200051,"93934004",SNOMED
Primary malignant neoplasm of uterine adnexa,200052,"94126000",SNOMED
Primary malignant neoplasm of ureter,200054,"94121005",SNOMED
Benign neoplasm of soft tissues of trunk,200060,"92400002",SNOMED
Nodular lymphoma of intra-abdominal lymph nodes,200338,"95186006",SNOMED
Malignant lymphoma of spleen,200343,"93198004",SNOMED
Secondary malignant neoplasm of large intestine,200348,"94365007",SNOMED
Malignant lymphoma of intra-abdominal lymph nodes,200349,"93191005",SNOMED
Hodgkin's disease of intra-abdominal lymph nodes,200355,"93520007",SNOMED
Reticulosarcoma of intra-abdominal lymph nodes,200659,"95224004",SNOMED
Reticulosarcoma of lymph nodes of inguinal region and lower limb,200660,"188493000",SNOMED
Lymphosarcoma,200662,"188498009",SNOMED
Malignant mast cell tumor of intrapelvic lymph nodes,200667,"93201009",SNOMED
Benign neoplasm of male genital organ,200670,"92207002",SNOMED
Benign neoplasm of renal pelvis,200671,"92319008",SNOMED
Neoplasm of uncertain behavior of ovary,200675,"94974001",SNOMED
Neoplasm of bladder,200680,"126885006",SNOMED
Secondary malignant neoplasm of intrapelvic lymph nodes,200959,"94350006",SNOMED
Primary malignant neoplasm of prostate,200962,"93974005",SNOMED
Primary malignant neoplasm of paraurethral glands,200963,"93944002",SNOMED
Carcinoma in situ of prostate,200970,"92691004",SNOMED
Carcinoma in situ of stomach,200974,"92756002",SNOMED
Malignant neoplasm of connective and soft tissue of pelvis,201231,"188019007",SNOMED
Primary malignant neoplasm of female genital organ,201238,"93797001",SNOMED
"Hodgkin's disease, lymphocytic-histiocytic predominance of intra-abdominal lymph nodes",201242,"93493001",SNOMED
Benign neoplasm of vagina,201244,"92473001",SNOMED
Benign neoplasm of soft tissues of abdomen,201256,"92387002",SNOMED
Primary malignant neoplasm of urachus,201517,"94120006",SNOMED
Primary malignant neoplasm of lower limb,201518,"93875005",SNOMED
Primary malignant neoplasm of liver,201519,"95214007",SNOMED
Neoplasm of uncertain behavior of prostate,201527,"95014000",SNOMED
Primary malignant neoplasm of fallopian tube,201801,"371987000",SNOMED
Burkitt's tumor of intra-abdominal lymph nodes,201807,"92508006",SNOMED
Lymphosarcoma of intrapelvic lymph nodes,201810,"188505000",SNOMED
Mycosis fungoides of intra-abdominal lymph nodes,201813,"94707004",SNOMED
Benign neoplasm of female genital organ,201817,"92103006",SNOMED
Benign neoplasm of penis,201823,"92286008",SNOMED
Benign neoplasm of bladder,201824,"91992005",SNOMED
Neoplasm of respiratory tract,252280,"126667002",SNOMED
Primary malignant neoplasm of upper respiratory tract,252840,"94118008",SNOMED
Secondary malignant neoplasm of respiratory tract,253717,"94515004",SNOMED
Primary malignant neoplasm of soft palate,254282,"94049001",SNOMED
Kaposi's sarcoma of lung,254583,"109390005",SNOMED
Secondary malignant neoplasm of lung,254591,"94391008",SNOMED
Primary malignant neoplasm of commissure of lip,255192,"371981004",SNOMED
Primary malignant neoplasm of base of tongue,256633,"93687001",SNOMED
"Primary malignant neoplasm of middle lobe, bronchus or lung",256646,"372112000",SNOMED
Primary malignant neoplasm of main bronchus,257503,"93882009",SNOMED
Overlapping malignant neoplasm of bronchus and lung,258375,"109371002",SNOMED
Kaposi's sarcoma of skin,258981,"109386008",SNOMED
Primary malignant neoplasm of accessory sinus,259748,"93659005",SNOMED
Primary malignant neoplasm of subglottis,259755,"94075002",SNOMED
Primary malignant neoplasm of glottis,260336,"93816002",SNOMED
"Primary malignant neoplasm of upper lobe, bronchus or lung",261236,"372135002",SNOMED
Benign neoplasm of bronchus and lung,261255,"271473006",SNOMED
Primary malignant neoplasm of supraglottis,261514,"94080006",SNOMED
Carcinoma in situ of respiratory tract,261528,"92698005",SNOMED
Primary malignant neoplasm of vestibule of mouth,261808,"94138009",SNOMED
Kaposi's sarcoma of lymph nodes,312846,"109391009",SNOMED
Megakaryocytic leukemia,313159,"188754005",SNOMED
Subacute monocytic leukemia,313430,"188746008",SNOMED
"Hodgkin's disease, lymphocytic depletion of lymph nodes of multiple sites",313980,"188593003",SNOMED
"Hodgkin's disease, nodular sclerosis of lymph nodes of axilla AND/OR upper limb",314600,"93514006",SNOMED
"Hodgkin's disease, mixed cellularity of lymph nodes of multiple sites",315202,"188582000",SNOMED
Burkitt's lymphoma of lymph nodes of multiple sites,315481,"188517003",SNOMED
Subacute leukemia,315497,"302855005",SNOMED
Benign neoplasm of lymph node,315505,"92197001",SNOMED
"Hodgkin's disease, nodular sclerosis of lymph nodes of multiple sites",315763,"188572001",SNOMED
Hodgkin's disease of lymph nodes of multiple sites,316356,"93526001",SNOMED
Primary malignant neoplasm of heart,316644,"93825008",SNOMED
Hodgkin's sarcoma of lymph nodes of multiple sites,316649,"188551004",SNOMED
Disorder of hematopoietic structure,317248,"414027002",SNOMED
Leukemia,317510,"93143009",SNOMED
Primary malignant neoplasm of soft tissues of thorax,317801,"94062002",SNOMED
Benign neoplasm of heart,317814,"92132009",SNOMED
Secondary malignant neoplasm of lymph node,318096,"94392001",SNOMED
Malignant mast cell tumor of extranodal AND/OR solid organ site,318382,"93208003",SNOMED
Lymphosarcoma of lymph nodes of multiple sites,318697,"188507008",SNOMED
Leukemic reticuloendotheliosis of lymph nodes of multiple sites,318989,"93150008",SNOMED
Hodgkin's sarcoma of lymph nodes of axilla AND/OR upper limb,320049,"93550004",SNOMED
Hodgkin's granuloma of lymph nodes of multiple sites,320337,"188541000",SNOMED
Secondary malignant neoplasm of lymph nodes of multiple sites,320342,"94396003",SNOMED
Nodular lymphoma of lymph nodes of multiple sites,320347,"95192000",SNOMED
"Overlapping malignant neoplasm of heart, mediastinum and pleura",321234,"109384006",SNOMED
"Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of multiple sites",321522,"188562004",SNOMED
Monocytic leukemia,321526,"188744006",SNOMED
Malignant histiocytosis of lymph nodes of multiple sites,321815,"93188005",SNOMED
Benign neoplasm of retina,372272,"92321003",SNOMED
Primary malignant neoplasm of lacrimal gland,372567,"371993008",SNOMED
Primary malignant neoplasm of conjunctiva,373151,"93764002",SNOMED
Primary central nervous system lymphoma,373152,"307649006",SNOMED
Benign neoplasm of cornea,373160,"92070006",SNOMED
Benign neoplasm of mandible,373166,"92208007",SNOMED
Secondary malignant neoplasm of nervous system,373425,"94442001",SNOMED
Benign neoplasm of nervous system,373432,"92247009",SNOMED
Neoplasm of brain,373724,"126952004",SNOMED
Carcinoma in situ of eye,373732,"92590009",SNOMED
Benign neoplasm of conjunctiva,373982,"92068002",SNOMED
"Malignant neoplasm of eyeball excluding conjunctiva, cornea, retina and choroid",374297,"188261005",SNOMED
Neoplasm of uncertain behavior of soft tissues,374313,"94805002",SNOMED
Primary malignant neoplasm of eye,374874,"371986009",SNOMED
Kaposi's sarcoma of soft tissue,375479,"188029000",SNOMED
Primary malignant neoplasm of cornea,375490,"93766000",SNOMED
Hemangioma of retina,375776,"93470007",SNOMED
Benign neoplasm of cerebral meninges,376063,"92051001",SNOMED
Primary malignant neoplasm of soft tissues,376647,"372010005",SNOMED
Lipoma of skin and subcutaneous tissue of face,376657,"93159009",SNOMED
Neoplasm of uncertain behavior of nervous system,376660,"94963005",SNOMED
Primary malignant neoplasm of nervous system,376918,"93923002",SNOMED
Neurofibromatosis syndrome,376938,"19133005",SNOMED
"Malignant neoplasm of auditory tube, middle ear and mastoid air cells",377229,"187833006",SNOMED
Neurofibromatosis type 1,377252,"92824003",SNOMED
Primary malignant neoplasm of retina,377811,"93987004",SNOMED
Overlapping malignant neoplasm of soft tissues,378081,"109349007",SNOMED
Secondary malignant neoplasm of brain and spinal cord,378087,"188462001",SNOMED
Primary malignant neoplasm of choroid,378696,"93755007",SNOMED
Primary malignant neoplasm of mandible,379756,"93886007",SNOMED
Benign neoplasm of brain,379769,"92030004",SNOMED
Primary malignant neoplasm of brain,380055,"93727008",SNOMED
Neurofibromatosis type 2,380975,"92503002",SNOMED
Benign neoplasm of eye,381252,"92097004",SNOMED
Primary malignant neoplasm of Waldeyer's ring,432254,"94144008",SNOMED
Primary malignant neoplasm of Meckel's diverticulum,432256,"93890009",SNOMED
Primary malignant neoplasm of transverse colon,432257,"94105000",SNOMED
Primary malignant neoplasm of upper third of esophagus,432260,"372023003",SNOMED
Primary malignant neoplasm of trachea,432262,"94104001",SNOMED
Primary malignant neoplasm of lower inner quadrant of female breast,432263,"93874009",SNOMED
Primary malignant neoplasm of broad ligament,432264,"93728003",SNOMED
"Hodgkin's disease, lymphocytic depletion of extranodal AND/OR solid organ site",432267,"93492006",SNOMED
Carcinoid tumor of ileum,432271,"425318003",SNOMED
Overlapping malignant neoplasm of nasopharynx,432558,"109367000",SNOMED
Primary malignant neoplasm of occipital lobe,432559,"93928006",SNOMED
Malignant lymphoma,432571,"118600007",SNOMED
Neoplastic disease of uncertain behavior,432582,"118616009",SNOMED
Primary malignant neoplasm of oropharynx,432833,"93933005",SNOMED
Primary malignant neoplasm of cecum,432837,"371977004",SNOMED
Primary malignant neoplasm of cardia of stomach,432838,"93738008",SNOMED
Primary malignant neoplasm of tail of pancreas,432843,"94082003",SNOMED
Primary malignant neoplasm of anterior mediastinum,432844,"93671004",SNOMED
Primary malignant neoplasm of central portion of female breast,432845,"93745008",SNOMED
Primary malignant neoplasm of cerebral ventricle,432848,"93748005",SNOMED
Secondary malignant neoplastic disease,432851,"128462008",SNOMED
Benign tumor of nasopharynx,432860,"188800003",SNOMED
Primary malignant neoplasm of appendix,433143,"93679002",SNOMED
Primary malignant neoplasm of cerebellum,433149,"93746009",SNOMED
Hodgkin's sarcoma of intrathoracic lymph nodes,433156,"93549004",SNOMED
"Hodgkin's disease, lymphocytic depletion of lymph nodes of head, face AND/OR neck",433161,"93488004",SNOMED
Lipoma of intrathoracic organs,433167,"93158001",SNOMED
Primary malignant neoplasm of pancreatic duct,433423,"93939009",SNOMED
Burkitt's tumor of lymph nodes of axilla AND/OR upper limb,433426,"92511007",SNOMED
Carcinoma in situ,433435,"109355002",SNOMED
Primary malignant neoplasm of retromolar area,433704,"93989001",SNOMED
Primary malignant neoplasm of tonsillar fossa,433709,"94102002",SNOMED
Primary malignant neoplasm of testis,433716,"94087009",SNOMED
Primary malignant neoplasm of cranial nerve,433975,"93767009",SNOMED
Primary malignant neoplasm of temporal lobe,433976,"94086000",SNOMED
Benign neoplasm of hypopharynx,433978,"92139000",SNOMED
Benign neoplasm of respiratory system and intrathoracic organ,433979,"269481009",SNOMED
Benign neoplasm of short bone of upper limb,433981,"92341008",SNOMED
Benign neoplasm of orbit,433987,"92258000",SNOMED
Lymphangioma,433997,"400178008",SNOMED
Primary malignant neoplasm of uvula,434285,"94129007",SNOMED
Primary malignant neoplasm of lingual tonsil,434289,"93868009",SNOMED
Primary malignant neoplasm of lesser curvature of stomach,434292,"93867004",SNOMED
Primary malignant neoplasm of body of pancreas,434293,"93715005",SNOMED
Secondary malignant neoplasm of lymph nodes of upper limb,434298,"94398002",SNOMED
"Hodgkin's disease, mixed cellularity of lymph nodes of axilla AND/OR upper limb",434299,"93505001",SNOMED
Neuroendocrine tumor,434300,"255046005",SNOMED
Benign neoplasm of ribs and/or sternum and/or clavicle,434301,"271475004",SNOMED
"Hodgkin's disease, nodular sclerosis of extranodal AND/OR solid organ site",434302,"93519001",SNOMED
Benign neoplasm of rectum and anal canal,434303,"188838004",SNOMED
Primary malignant neoplasm of hypopharyngeal aspect of aryepiglottic fold,434577,"93829002",SNOMED
Kaposi's sarcoma,434584,"109385007",SNOMED
Primary malignant neoplasm of dorsal surface of tongue,434587,"93773005",SNOMED
Primary malignant neoplasm of parotid gland,434588,"372004005",SNOMED
Malignant melanoma of skin of eyelid,434590,"93224002",SNOMED
B-cell lymphoma,434592,"109979007",SNOMED
Letterer-Siwe disease of intrathoracic lymph nodes,434595,"93135004",SNOMED
Malignant mast cell tumor of intrathoracic lymph nodes,434601,"93202002",SNOMED
Benign tumor of lacrimal drainage structure,434605,"280960002",SNOMED
Secondary malignant neoplasm of mediastinum,434875,"94409002",SNOMED
Hodgkin's disease of lymph nodes of axilla AND/OR upper limb,434877,"93523009",SNOMED
Primary malignant neoplasm of short bone of lower limb,434880,"94003005",SNOMED
Peripheral T-cell lymphoma,434881,"109977009",SNOMED
Carcinoma in situ of skin of eyelid including canthus,434883,"189277003",SNOMED
Benign neoplasm of skull and facial bones,434885,"271474000",SNOMED
Primary malignant neoplasm of pyriform sinus,435190,"93978008",SNOMED
Reticulosarcoma of intrathoracic lymph nodes,435193,"95226002",SNOMED
Malignant histiocytosis of lymph nodes of axilla AND/OR upper limb,435200,"93185008",SNOMED
"Hodgkin's disease, mixed cellularity of extranodal AND/OR solid organ site",435203,"93510002",SNOMED
Benign neoplasm of oropharynx,435205,"92259008",SNOMED
"Nodular lymphoma of lymph nodes of head, face and neck",435207,"188609000",SNOMED
Primary malignant neoplasm of posterior hypopharyngeal wall,435474,"93968005",SNOMED
Primary malignant neoplasm of upper gum,435478,"372022008",SNOMED
Primary malignant neoplasm of trigone of urinary bladder,435484,"94109006",SNOMED
Primary malignant neoplasm of ill-defined site,435485,"109357005",SNOMED
Primary malignant neoplasm of posterior mediastinum,435487,"93969002",SNOMED
Nodular lymphoma of intrathoracic lymph nodes,435492,"95188007",SNOMED
Primary malignant neoplasm of short bone of upper limb,435493,"94004004",SNOMED
"Hodgkin's paragranuloma of lymph nodes of head, face AND/OR neck",435494,"93542008",SNOMED
"Malignant mast cell tumor of lymph nodes of head, face AND/OR neck",435495,"93204001",SNOMED
Benign neoplastic disease,435506,"20376005",SNOMED
Lymphoproliferative disorder following transplantation,435514,"254290004",SNOMED
Primary malignant neoplasm of fundus of stomach,435751,"93809003",SNOMED
Primary malignant neoplasm of duodenum,435752,"93775003",SNOMED
Malignant lymphoma of intrathoracic lymph nodes,435753,"93193008",SNOMED
Malignant tumor of ascending colon,435754,"363412000",SNOMED
Primary malignant neoplasm of skin of eyelid,435755,"94021008",SNOMED
